cusip_id,bond_sym_id,company_symbol,trd_exctn_dt,trd_exctn_tm,trd_rpt_dt,trd_rpt_tm,msg_seq_nb,trc_st,scrty_type_cd,wis_fl,cmsn_trd,entrd_vol_qt,rptd_pr,yld_sign_cd,yld_pt,asof_cd,days_to_sttl_ct,sale_cndtn_cd,sale_cndtn2_cd,rpt_side_cd,buy_cmsn_rt,buy_cpcty_cd,sell_cmsn_rt,sell_cpcty_cd,cntra_mp_id,agu_qsr_id,spcl_trd_fl,trdg_mkt_cd,dissem_fl,orig_msg_seq_nb,bloomberg_identifier,sub_prdct,stlmnt_dt,trd_mod_3,trd_mod_4,rptg_party_type,lckd_in_ind,ats_indicator,pr_trd_dt,first_trade_ctrl_date,first_trade_ctrl_num
000325AA8,AAFM.GA,AAFM,2002-07-01,49893.0,2002-07-01,49895.0,0009218,T,C,N,N,1000000.0,118.25,-,17.965641,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-01,49916.0,2002-07-01,49917.0,0009239,T,C,N,N,1000000.0,118.25,-,17.965641,,000,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64989.0,2002-07-29,66359.0,0031133,T,C,N,N,1000000.0,100.0,+,8.861525,,000,A,,B,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-01,49916.0,2002-07-01,49917.0,0009267,C,C,N,N,1000000.0,118.25,-,17.965641,,,@,,S,,P,,P,D,,Y,S1,N,0009239,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-01,64233.0,2002-07-01,64237.0,0020341,T,C,N,N,1000000.0,118.25,-,17.965641,,000,A,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-01,64277.0,2002-07-01,64279.0,0020358,C,C,N,N,2000000.0,118.25,-,17.965641,,,A,A,S,,P,,P,D,,Y,S1,N,0020359,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-03,31413.0,2002-07-05,31415.0,0000367,T,C,N,N,2000000.0,99.0,+,10.606534,A,000,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-03,31415.0,2002-07-05,31437.0,0000369,T,C,N,N,2000000.0,99.0,+,10.606534,R,000,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-03,31435.0,2002-07-05,31438.0,0000370,T,C,N,N,2000000.0,99.0,+,10.606534,A,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-03,31438.0,2002-07-05,31460.0,0000375,T,C,N,N,2000000.0,99.0,+,10.606534,R,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-05,31352.0,2002-07-05,31354.0,0000360,T,C,N,N,1000000.0,118.25,-,18.535235,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-05,31397.0,2002-07-05,31398.0,0000365,C,C,N,N,2000000.0,99.0,+,10.615077,,,@,,S,,P,,P,D,,Y,S1,N,0000366,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-15,61401.0,2002-07-15,61437.0,0026602,T,C,N,N,9309000.0,100.5,+,7.948166,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-15,61438.0,2002-07-15,61461.0,0026617,T,C,N,N,9309000.0,101.0,+,7.052124,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-17,34157.0,2002-07-18,34161.0,0001647,T,C,N,N,1000000.0,118.25,-,20.011313,A,000,@,,S,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-17,34161.0,2002-07-18,34176.0,0001662,T,C,N,N,1000000.0,118.25,-,20.011313,R,000,@,,S,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30666.0,2002-07-18,31758.0,0000829,T,C,N,N,1000000.0,100.0,+,8.855651,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30666.0,2002-07-18,31758.0,0002581,C,C,N,N,1000000.0,100.0,+,8.855651,,,@,,B,,P,,P,D,,Y,S1,N,0000829,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30667.0,2002-07-18,31823.0,0000840,T,C,N,N,1000000.0,100.0,+,8.855651,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30667.0,2002-07-18,31823.0,0002589,C,C,N,N,1000000.0,100.0,+,8.855651,,,@,,B,,P,,P,D,,Y,S1,N,0000840,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30668.0,2002-07-18,31824.0,0000841,T,C,N,N,1000000.0,100.0,+,8.855651,,000,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30668.0,2002-07-18,31825.0,0000842,T,C,N,N,1000000.0,100.0,+,8.855651,,000,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30668.0,2002-07-18,31824.0,0013342,C,C,N,N,1000000.0,100.0,+,8.855651,,,@,,S,,P,,P,D,,Y,S1,N,0000841,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,30668.0,2002-07-18,31825.0,0013346,C,C,N,N,1000000.0,100.0,+,8.855651,,,@,,S,,P,,P,D,,Y,S1,N,0000842,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,33773.0,2002-07-18,33825.0,0001472,T,C,N,N,1000000.0,118.25,-,20.14186,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,33773.0,2002-07-18,33825.0,0002577,C,C,N,N,1000000.0,118.25,-,20.14186,,,@,,B,,P,,P,D,,Y,S1,N,0001472,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,33862.0,2002-07-18,33886.0,0001497,T,C,N,N,1000000.0,118.25,-,20.14186,,000,@,,S,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,33862.0,2002-07-18,33886.0,0001640,C,C,N,N,1000000.0,118.25,-,20.14186,,,@,,S,,P,,P,C,,Y,S1,N,0001497,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34282.0,2002-07-18,36481.0,0003028,T,C,N,N,1000000.0,50.0,+,186.91617,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34282.0,2002-07-18,36481.0,0013338,C,C,N,N,1000000.0,50.0,+,186.91617,,,@,,B,,P,,P,D,,Y,S1,N,0003028,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34283.0,2002-07-18,36953.0,0003370,T,C,N,N,1000000.0,50.0,+,186.91617,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34283.0,2002-07-18,36953.0,0013332,C,C,N,N,1000000.0,50.0,+,186.91617,,,@,,B,,P,,P,D,,Y,S1,N,0003370,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34678.0,2002-07-18,34710.0,0001896,T,C,N,N,1000000.0,100.0,+,8.855651,,000,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34678.0,2002-07-18,34710.0,0002583,C,C,N,N,1000000.0,100.0,+,8.855651,,,@,,S,,P,,P,D,,Y,S1,N,0001896,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34738.0,2002-07-18,34769.0,0001936,T,C,N,N,1000000.0,100.0,+,8.855651,,000,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-18,34738.0,2002-07-18,34769.0,0013336,C,C,N,N,1000000.0,100.0,+,8.855651,,,@,,B,,P,,P,D,,Y,S1,N,0001936,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-22,57526.0,2002-07-22,62366.0,0026432,T,C,N,N,117500.0,95.0,+,18.726747,,000,Z,A,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-22,60058.0,2002-07-22,62370.0,0026434,T,C,N,N,117500.0,95.25,+,18.209945,,000,A,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48272.0,2002-07-24,48370.0,0013257,T,C,N,N,100000.0,98.0,+,12.771723,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48286.0,2002-07-24,48370.0,0013259,T,C,N,N,150000.0,98.0,+,12.771723,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48296.0,2002-07-24,48370.0,0013260,T,C,N,N,150000.0,98.0,+,12.771723,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48346.0,2002-07-24,48389.0,0013282,T,C,N,N,400000.0,100.125,+,8.620427,,000,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48361.0,2002-07-24,48372.0,0013268,T,C,N,N,400000.0,100.25,+,8.381483,,000,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48374.0,2002-07-24,48386.0,0013279,T,C,N,N,3000000.0,100.375,+,8.14311,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48387.0,2002-07-24,48398.0,0013291,T,C,N,N,3400000.0,101.0,+,6.95972,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48387.0,2002-07-24,53225.0,0018331,T,C,N,N,3400000.0,101.0,+,6.95972,,000,Z,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,48625.0,2002-07-24,48645.0,0013489,T,C,N,N,400000.0,100.25,+,8.381483,,000,@,,S,,P,,P,D,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,52701.0,2002-07-24,52711.0,0017722,T,C,N,N,6125000.0,100.375,+,8.14311,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,52712.0,2002-07-24,52720.0,0017731,T,C,N,N,6125000.0,101.0,+,6.95972,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-24,59314.0,2002-07-24,59653.0,0026442,T,C,N,N,400000.0,100.125,+,8.620426,,000,@,,S,,P,,P,D,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-26,39162.0,2002-07-26,41165.0,0006977,T,C,N,N,100000.0,100.5,+,7.897114,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-26,50896.0,2002-07-26,52038.0,0017250,T,C,N,N,100000.0,100.75,+,7.418364,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64989.0,2002-07-29,66359.0,0031139,C,C,N,N,1000000.0,100.0,+,8.861525,,,A,A,B,,P,,P,C,,Y,S1,N,0031133,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64992.0,2002-07-29,66241.0,0031053,T,C,N,N,1000000.0,100.0,+,8.861525,,000,A,,B,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64992.0,2002-07-29,66358.0,0031132,T,C,N,N,1000000.0,100.0,+,8.861525,,000,A,,B,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64992.0,2002-07-29,66241.0,0031137,C,C,N,N,1000000.0,100.0,+,8.861525,,,A,A,B,,P,,P,C,,Y,S1,N,0031053,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64992.0,2002-07-29,66358.0,0031138,C,C,N,N,1000000.0,100.0,+,8.861525,,,A,A,B,,P,,P,C,,Y,S1,N,0031132,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64996.0,2002-07-29,66360.0,0031134,T,C,N,N,1000000.0,100.0,+,8.861525,,000,A,,S,,P,,P,C,,Y,S1,N,,,,,,,,,,,,
000325AA8,AAFM.GA,AAFM,2002-07-29,64996.0,2002-07-29,66360.0,0031140,C,C,N,N,1000000.0,100.0,+,8.861525,,,A,A,S,,P,,P,C,,Y,S1,N,0031134,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-05,40227.0,2002-07-05,40230.0,0003098,T,C,N,Y,10000.0,96.375,+,7.431,,000,@,,B,1.0,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-09,49511.0,2002-07-09,49516.0,0015601,T,C,N,Y,10000.0,100.792,+,7.202,,000,@,,S,,P,2.35,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-11,46750.0,2002-07-11,46840.0,0013269,T,C,N,N,1993000.0,105.071,+,5.840992,,000,@,,S,,P,,P,D,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-11,46750.0,2002-07-11,46840.0,0013275,C,C,N,N,1993000.0,105.071,+,5.840992,,,@,,S,,P,,P,D,,,S1,N,0013269,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-12,43429.0,2002-07-12,43432.0,0009257,T,C,N,N,6000.0,99.0,+,7.084,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-18,51475.0,2002-07-18,51477.0,0018184,T,C,N,N,7000.0,98.5,+,7.191,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-19,37780.0,2002-07-19,37811.0,0003537,T,C,N,N,1000.0,95.0,+,7.957182,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-24,38247.0,2002-07-24,38272.0,0004183,T,C,N,N,10000.0,94.5,+,8.071612,,000,@,,S,,P,,P,D,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-24,38460.0,2002-07-24,45333.0,0010169,T,C,N,N,10000.0,94.5,+,8.072,,000,Z,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-24,38460.0,2002-07-24,45333.0,0010170,T,C,N,N,10000.0,95.0,+,7.959,,000,Z,,S,,P,,P,D,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-24,38700.0,2002-07-24,43544.0,0008521,T,C,N,N,10000.0,95.0,+,7.95911,,000,Z,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-24,57641.0,2002-07-24,57642.0,0023848,T,C,N,Y,20000.0,97.822,+,7.122,,000,@,,B,1.0,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-25,58839.0,2002-07-25,58841.0,0026870,T,C,N,N,25000.0,99.1,+,7.063,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-26,44251.0,2002-07-26,44254.0,0010054,T,C,N,Y,10000.0,97.25,+,7.245,,000,@,,B,1.0,P,,P,C,,,S1,N,,,,,,,,,,,,
000336AE7,GFR.GA,GFR,2002-07-26,57238.0,2002-07-26,58784.0,0024964,T,C,N,Y,10000.0,98.0,+,7.517,,000,@,,S,,P,1.0,P,C,,,S1,N,,,,,,,,,,,,
000361AB1,AIR.GA,AIR,2002-07-05,44772.0,2002-07-05,44773.0,0005426,T,C,N,N,2000.0,102.791,+,4.936,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000361AB1,AIR.GA,AIR,2002-07-30,41406.0,2002-07-30,41408.0,0008409,T,C,N,Y,5000.0,99.9,+,7.236,,000,@,,B,0.1,P,,P,C,,,S1,N,,,,,,,,,,,,
000361AC9,AIR.GB,AIR,2002-07-03,40813.0,2002-07-03,40816.0,0005666,T,C,N,Y,60000.0,99.0,+,6.874,,000,@,,B,1.0,P,,P,C,,,S1,N,,,,,,,,,,,,
000361AC9,AIR.GB,AIR,2002-07-31,37527.0,2002-07-31,37529.0,0004213,T,C,N,Y,15000.0,100.75,+,7.1,,000,@,,S,,P,1.75,P,C,,,S1,N,,,,,,,,,,,,
00036AAB1,AARP.GA,AARP,2002-07-29,55500.0,2002-07-30,65749.0,0035245,T,C,N,N,5000000.0,110.665,+,6.661,A,000,@,A,B,,A,,P,D,,,S1,N,,,,,,,,,,,,
00072AAA8,DIS.GA,DIS,2002-07-17,46094.0,2002-07-17,46211.0,0014354,T,C,N,N,665000.0,114.75,+,6.818409,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
00072AAA8,DIS.GA,DIS,2002-07-25,53762.0,2002-07-25,53775.0,0020460,T,C,N,N,10000.0,118.883,+,6.100016,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
00072AAA8,DIS.GA,DIS,2002-07-30,56864.0,2002-07-30,56896.0,0026694,T,C,N,N,25000.0,118.574,+,6.150101,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
00072AAA8,DIS.GA,DIS,2002-07-31,41094.0,2002-07-31,41170.0,0007737,T,C,N,N,50000.0,117.556,+,6.320295,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
00072AAA8,DIS.GA,DIS,2002-07-31,57446.0,2002-07-31,57497.0,0027408,T,C,N,N,25000.0,117.681,+,6.298917,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-02,55440.0,2002-07-03,48384.0,0012678,T,C,N,N,10000.0,0.0001,+,,A,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-02,55440.0,2002-07-03,55875.0,0017458,T,C,N,N,10000.0,0.0001,+,,A,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-02,55440.0,2002-07-05,35504.0,0001258,T,C,N,N,10000.0,0.0001,+,,R,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-03,54240.0,2002-07-05,33875.0,0000847,T,C,N,N,25000.0,0.004,+,,A,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-03,54360.0,2002-07-05,33843.0,0000841,T,C,N,N,86000.0,0.00116,+,,A,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-03,54360.0,2002-07-05,33951.0,0000873,T,C,N,N,45000.0,0.0022,+,,A,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-03,54420.0,2002-07-05,33915.0,0000854,T,C,N,N,10000.0,0.01,+,,A,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-09,40200.0,2002-07-09,46987.0,0012961,T,C,N,N,30000.0,0.00333,+,,,000,Z,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-11,60060.0,2002-07-11,60712.0,0030357,T,C,N,N,20000.0,0.005,+,,,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-12,56520.0,2002-07-12,57077.0,0022872,T,C,N,N,26000.0,0.00385,+,,,000,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-16,33723.0,2002-07-16,33724.0,0001748,T,C,N,N,15000.0,0.001,+,,,000,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-16,46341.0,2002-07-16,46342.0,0014085,T,C,N,N,10000.0,0.001,+,,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
000752AA3,ABCR.GB,ABCR,2002-07-16,46341.0,2002-07-16,46345.0,0014090,T,C,N,N,5000.0,0.001,+,,,000,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
