,cusip_id,bond_sym_id,company_symbol,trd_exctn_dt,trd_exctn_tm,trd_rpt_dt,trd_rpt_tm,msg_seq_nb,trc_st,scrty_type_cd,wis_fl,cmsn_trd,entrd_vol_qt,rptd_pr,yld_sign_cd,yld_pt,asof_cd,days_to_sttl_ct,sale_cndtn_cd,sale_cndtn2_cd,rpt_side_cd,buy_cmsn_rt,buy_cpcty_cd,sell_cmsn_rt,sell_cpcty_cd,cntra_mp_id,agu_qsr_id,spcl_trd_fl,trdg_mkt_cd,dissem_fl,orig_msg_seq_nb,bloomberg_identifier,sub_prdct,stlmnt_dt,trd_mod_3,trd_mod_4,rptg_party_type,lckd_in_ind,ats_indicator,pr_trd_dt,first_trade_ctrl_date,first_trade_ctrl_num
6,000325AA8,AAFM.GA,AAFM,2002-07-03,31413.0,2002-07-05,31415.0,367,T,C,N,N,2000000.0,99.0,+,10.606534,A,0.0,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
7,000325AA8,AAFM.GA,AAFM,2002-07-03,31415.0,2002-07-05,31437.0,369,T,C,N,N,2000000.0,99.0,+,10.606534,R,0.0,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
8,000325AA8,AAFM.GA,AAFM,2002-07-03,31435.0,2002-07-05,31438.0,370,T,C,N,N,2000000.0,99.0,+,10.606534,A,0.0,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
9,000325AA8,AAFM.GA,AAFM,2002-07-03,31438.0,2002-07-05,31460.0,375,T,C,N,N,2000000.0,99.0,+,10.606534,R,0.0,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
10,000325AA8,AAFM.GA,AAFM,2002-07-05,31352.0,2002-07-05,31354.0,360,T,C,N,N,1000000.0,118.25,-,18.535235,,0.0,@,,B,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
11,000325AA8,AAFM.GA,AAFM,2002-07-05,31397.0,2002-07-05,31398.0,365,C,C,N,N,2000000.0,99.0,+,10.615077,,,@,,S,,P,,P,D,,Y,S1,N,366.0,,,,,,,,,,,
59,000336AE7,GFR.GA,GFR,2002-07-05,40227.0,2002-07-05,40230.0,3098,T,C,N,Y,10000.0,96.375,+,7.431,,0.0,@,,B,1.0,P,,P,C,,,S1,N,,,,,,,,,,,,
74,000361AB1,AIR.GA,AIR,2002-07-05,44772.0,2002-07-05,44773.0,5426,T,C,N,N,2000.0,102.791,+,4.936,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
86,000752AA3,ABCR.GB,ABCR,2002-07-02,55440.0,2002-07-05,35504.0,1258,T,C,N,N,10000.0,0.0001,+,,R,0.0,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
87,000752AA3,ABCR.GB,ABCR,2002-07-03,54240.0,2002-07-05,33875.0,847,T,C,N,N,25000.0,0.004,+,,A,0.0,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
88,000752AA3,ABCR.GB,ABCR,2002-07-03,54360.0,2002-07-05,33843.0,841,T,C,N,N,86000.0,0.00116,+,,A,0.0,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
89,000752AA3,ABCR.GB,ABCR,2002-07-03,54360.0,2002-07-05,33951.0,873,T,C,N,N,45000.0,0.0022,+,,A,0.0,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
90,000752AA3,ABCR.GB,ABCR,2002-07-03,54420.0,2002-07-05,33915.0,854,T,C,N,N,10000.0,0.01,+,,A,0.0,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
113,000752AB1,ABCR.GA,ABCR,2002-07-03,54180.0,2002-07-05,33982.0,880,T,C,N,N,25000.0,0.004,+,,A,0.0,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
114,000752AB1,ABCR.GA,ABCR,2002-07-03,54300.0,2002-07-05,34011.0,883,T,C,N,N,25000.0,0.004,+,,A,0.0,@,,B,,A,,P,C,,,S1,N,,,,,,,,,,,,
135,00077QAA8,ABN.GB,ABN,2002-07-05,26572.0,2002-07-05,28833.0,41,T,C,N,N,2000.0,108.295,+,4.17,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
136,00077QAA8,ABN.GB,ABN,2002-07-05,26572.0,2002-07-05,28837.0,42,T,C,N,N,2000.0,108.045,+,4.258,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
318,00077QAD2,ABN.GE,ABN,2002-07-05,36301.0,2002-07-05,36373.0,1551,T,C,N,N,25000.0,110.68,+,4.575,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
319,00077QAD2,ABN.GE,ABN,2002-07-05,36301.0,2002-07-05,36377.0,1560,T,C,N,N,25000.0,110.305,+,4.673,,0.0,@,,S,,P,,P,D,,,S1,N,,,,,,,,,,,,
320,00077QAD2,ABN.GE,ABN,2002-07-05,42540.0,2002-07-05,42596.0,4315,T,C,N,N,30000.0,110.64867,+,4.5828,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
321,00077QAD2,ABN.GE,ABN,2002-07-05,42540.0,2002-07-05,42602.0,4318,T,C,N,N,30000.0,110.182,+,4.7054,,0.0,@,,B,,A,,A,D,,,S1,N,,,,,,,,,,,,
322,00077QAD2,ABN.GE,ABN,2002-07-05,42569.0,2002-07-05,42569.0,4304,T,C,N,N,30000.0,110.182,+,4.705359,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
516,00079FAV4,ABN.IK,ABN,2002-07-05,33360.0,2002-07-05,33381.0,717,T,C,N,N,22000.0,91.0,+,,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
517,00079FAV4,ABN.IK,ABN,2002-07-05,36480.0,2002-07-05,36521.0,1612,T,C,N,N,10000.0,91.0,+,,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
518,00079FAV4,ABN.IK,ABN,2002-07-05,36540.0,2002-07-05,36605.0,1631,T,C,N,N,10000.0,91.0,+,,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
519,00079FAV4,ABN.IK,ABN,2002-07-05,36840.0,2002-07-05,36892.0,1701,T,C,N,N,10000.0,91.0,+,,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
530,00079FAW2,ABN.IN,ABN,2002-07-05,36900.0,2002-07-05,36959.0,1734,T,C,N,N,10000.0,99.5,+,,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
531,00079FAW2,ABN.IN,ABN,2002-07-05,44880.0,2002-07-05,47737.0,6702,T,C,N,N,20000.0,96.0,+,15.175,,0.0,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
1038,00104PAC3,AFC.GA,AFC,2002-07-05,34448.0,2002-07-05,34450.0,958,T,C,N,N,3000.0,98.0,+,8.4,,0.0,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
1551,00130HAK1,AES.GC,AES,2002-07-05,35801.0,2002-07-05,35808.0,1361,T,C,N,N,2000000.0,48.0,+,27.766696,,0.0,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
1552,00130HAK1,AES.GC,AES,2002-07-05,35810.0,2002-07-05,35817.0,1364,T,C,N,N,2000000.0,50.0,+,26.580692,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
1720,00130HAN5,AES.GS,AES,2002-07-05,46320.0,2002-07-05,51077.0,7504,T,C,N,N,37000.0,52.0,+,29.008,,0.0,Z,,S,,P,,A,D,,,S1,N,,,,,,,,,,,,
2230,00130HAP0,AES.GF,AES,2002-07-05,36660.0,2002-07-05,36692.0,1646,T,C,N,N,164000.0,56.4192,+,20.216,,0.0,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
2231,00130HAP0,AES.GF,AES,2002-07-05,40945.0,2002-07-05,40946.0,3447,T,C,N,N,15000.0,60.0,+,18.816,,0.0,@,,S,,A,,P,D,,,S1,N,,,,,,,,,,,,
2232,00130HAP0,AES.GF,AES,2002-07-05,40945.0,2002-07-05,40947.0,3448,T,C,N,Y,15000.0,60.3,+,18.703,,0.0,@,,S,,P,0.3,A,C,,,S1,N,,,,,,,,,,,,
2233,00130HAP0,AES.GF,AES,2002-07-05,41440.0,2002-07-05,41529.0,3842,T,C,N,N,10000.0,57.125,+,19.934161,,0.0,@,,S,,P,,P,C,,,S1,N,,,,,,,,,,,,
2234,00130HAP0,AES.GF,AES,2002-07-05,46800.0,2002-07-05,48919.0,7092,T,C,N,N,20000.0,59.75,+,,,0.0,@,,S,,P,,P,D,,Y,S1,N,,,,,,,,,,,,
3462,001546AC4,AKS.GB,AKS,2002-07-05,33028.0,2002-07-05,33121.0,580,T,C,N,N,250000.0,104.56,+,8.676566,,2.0,R,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
3734,001765AU0,AMR.GG,AMR,2002-07-05,43399.0,2002-07-05,44020.0,4869,T,C,N,N,25000.0,84.0,+,11.750897,,0.0,@,,B,,P,,P,C,,,S1,N,,,,,,,,,,,,
3735,001765AU0,AMR.GG,AMR,2002-07-05,43500.0,2002-07-05,44171.0,5014,T,C,N,N,25000.0,84.0,+,11.751,,0.0,@,,S,,P,,A,D,,,S1,N,,,,,,,,,,,,
3877,00184AAA3,AOL.GA,AOL,2002-07-03,61200.0,2002-07-05,37551.0,2007,T,C,N,N,125000.0,94.713999,+,7.765977,A,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
